INSTRUMENTID,TRADINGSEGMENT,REFSETTLEMENTPRICE,TIME1,:B1,TIME,TRADINGDAY,PRODUCTID,UPDOWN,trade_date
SC2511,D,450.1,2025101415:00:00,,9:00-15:00,,sc_f,-2.59999,20251014
LU2511,D,3213,2025101410:15:00,,9:00-10:15,,lu_f,1e-05,20251014
LU2511,D,3207,2025101415:00:00,,9:00-15:00,,lu_f,-7.99999,20251014
FU2511,D,2771,2025101410:15:00,,9:00-10:15,,fu_f,-36.99999,20251014
FU2511,D,2758,2025101415:00:00,,9:00-15:00,,fu_f,-34.99999,20251014
BU2510,D,0,2025101410:15:00,,9:00-10:15,,bu_f,0,20251014
BU2510,D,0,2025101415:00:00,,9:00-15:00,,bu_f,0,20251014
BR2510,D,0,2025101410:15:00,,9:00-10:15,,br_f,0,20251014
BR2510,D,10670,2025101415:00:00,,9:00-15:00,,br_f,-179.99999,20251014
RU2510,D,0,2025101410:15:00,,9:00-10:15,,ru_f,0,20251014
RU2510,D,0,2025101415:00:00,,9:00-15:00,,ru_f,0,20251014
NR2510,D,11930,2025101410:15:00,,9:00-10:15,,nr_f,10.00001,20251014
NR2510,D,11925,2025101415:00:00,,9:00-15:00,,nr_f,5.00001,20251014
SP2510,D,0,2025101410:15:00,,9:00-10:15,,sp_f,0,20251014
SP2510,D,4812,2025101415:00:00,,9:00-15:00,,sp_f,40.00001,20251014
OP2601,D,4210,2025101410:15:00,,9:00-10:15,,op_f,-5.99999,20251014
OP2601,D,4208,2025101415:00:00,,9:00-15:00,,op_f,-3.99999,20251014
EC2510,D,1134.4,2025101410:15:00,,9:00-10:15,,ec_f,-1.29999,20251014
EC2510,D,1134.4,2025101415:00:00,,9:00-15:00,,ec_f,1.30001,20251014
CU2510,D,85120,2025101510:15:00,,9:00-10:15,,cu_f,-1079.99999,20251015
CU2510,D,85230,2025101515:00:00,,9:00-15:00,,cu_f,-549.99999,20251015
BC2510,D,0,2025101510:15:00,,9:00-10:15,,bc_f,0,20251015
BC2510,D,0,2025101515:00:00,,9:00-15:00,,bc_f,0,20251015
AL2510,D,20855,2025101510:15:00,,9:00-10:15,,al_f,-69.99999,20251015
AL2510,D,20855,2025101515:00:00,,9:00-15:00,,al_f,-44.99999,20251015
ZN2510,D,21990,2025101510:15:00,,9:00-10:15,,zn_f,-249.99999,20251015
ZN2510,D,21990,2025101515:00:00,,9:00-15:00,,zn_f,-214.99999,20251015
PB2510,D,17020,2025101510:15:00,,9:00-10:15,,pb_f,0,20251015
PB2510,D,17080,2025101515:00:00,,9:00-15:00,,pb_f,35.00001,20251015
NI2510,D,120800,2025101510:15:00,,9:00-10:15,,ni_f,20.00001,20251015
NI2510,D,120840,2025101515:00:00,,9:00-15:00,,ni_f,320.00001,20251015
SN2510,D,281240,2025101510:15:00,,9:00-10:15,,sn_f,-1859.99999,20251015
SN2510,D,280420,2025101515:00:00,,9:00-15:00,,sn_f,-919.99999,20251015
AO2510,D,2756,2025101510:15:00,,9:00-10:15,,ao_f,0,20251015
AO2510,D,2758,2025101515:00:00,,9:00-15:00,,ao_f,0,20251015
AD2511,D,20360,2025101510:15:00,,9:00-10:15,,ad_f,-99.99999,20251015
AD2511,D,20365,2025101515:00:00,,9:00-15:00,,ad_f,5.00001,20251015
AU2510,D,953.22,2025101510:15:00,,9:00-10:15,,au_f,8.56001,20251015
AU2510,D,964.02,2025101515:00:00,,9:00-15:00,,au_f,21.62001,20251015
AG2510,D,11782,2025101510:15:00,,9:00-10:15,,ag_f,-103.99999,20251015
AG2510,D,12289,2025101515:00:00,,9:00-15:00,,ag_f,476.00001,20251015
RB2510,D,2956,2025101510:15:00,,9:00-10:15,,rb_f,-20.99999,20251015
RB2510,D,2952,2025101515:00:00,,9:00-15:00,,rb_f,-21.99999,20251015
WR2510,D,0,2025101510:15:00,,9:00-10:15,,wr_f,0,20251015
WR2510,D,3100,2025101515:00:00,,9:00-15:00,,wr_f,0,20251015
HC2510,D,3494,2025101510:15:00,,9:00-10:15,,hc_f,52.00001,20251015
HC2510,D,3538,2025101515:00:00,,9:00-15:00,,hc_f,96.00001,20251015
SS2510,D,0,2025101510:15:00,,9:00-10:15,,ss_f,0,20251015
SS2510,D,0,2025101515:00:00,,9:00-15:00,,ss_f,0,20251015
SC2511,D,442.9,2025101510:15:00,,9:00-10:15,,sc_f,-10.09999,20251015
SC2511,D,442.3,2025101515:00:00,,9:00-15:00,,sc_f,-7.79999,20251015
LU2511,D,3141,2025101510:15:00,,9:00-10:15,,lu_f,-71.99999,20251015
LU2511,D,3139,2025101515:00:00,,9:00-15:00,,lu_f,-67.99999,20251015
FU2511,D,2731,2025101510:15:00,,9:00-10:15,,fu_f,-39.99999,20251015
FU2511,D,2731,2025101515:00:00,,9:00-15:00,,fu_f,-26.99999,20251015
BU2510,D,3472,2025101510:15:00,,9:00-10:15,,bu_f,0,20251015
BU2510,D,3471,2025101515:00:00,,9:00-15:00,,bu_f,0,20251015
BR2510,D,0,2025101510:15:00,,9:00-10:15,,br_f,0,20251015
BR2510,D,0,2025101515:00:00,,9:00-15:00,,br_f,0,20251015
RU2510,D,14030,2025101510:15:00,,9:00-10:15,,ru_f,0,20251015
RU2510,D,14030,2025101515:00:00,,9:00-15:00,,ru_f,0,20251015
NR2510,D,12105,2025101510:15:00,,9:00-10:15,,nr_f,175.00001,20251015
NR2510,D,12105,2025101515:00:00,,9:00-15:00,,nr_f,180.00001,20251015
SP2510,D,0,2025101510:15:00,,9:00-10:15,,sp_f,0,20251015
SP2510,D,0,2025101515:00:00,,9:00-15:00,,sp_f,0,20251015
