INSTRUMENTID,TRADINGSEGMENT,REFSETTLEMENTPRICE,TIME1,:B1,TIME,TRADINGDAY,PRODUCTID,UPDOWN,trade_date
SP2601,D,5110,2025101010:15:00,,9:00-10:15,,sp_f,-11.99999,20251010
SP2601,D,5096,2025101015:00:00,,9:00-15:00,,sp_f,-11.99999,20251010
OP2601,D,4226,2025101010:15:00,,9:00-10:15,,op_f,16.00001,20251010
OP2601,D,4222,2025101015:00:00,,9:00-15:00,,op_f,8.00001,20251010
EC2512,D,1632.1,2025101010:15:00,,9:00-10:15,,ec_f,33.70001,20251010
EC2512,D,1604.9,2025101015:00:00,,9:00-15:00,,ec_f,-14.99999,20251010
CU2511,D,84970,2025101310:15:00,,9:00-10:15,,cu_f,-1599.99999,20251013
CU2511,D,84900,2025101315:00:00,,9:00-15:00,,cu_f,-1409.99999,20251013
BC2511,D,75570,2025101310:15:00,,9:00-10:15,,bc_f,-1289.99999,20251013
BC2511,D,75440,2025101315:00:00,,9:00-15:00,,bc_f,-1209.99999,20251013
AL2512,D,20870,2025101310:15:00,,9:00-10:15,,al_f,-209.99999,20251013
AL2512,D,20870,2025101315:00:00,,9:00-15:00,,al_f,-169.99999,20251013
ZN2511,D,22270,2025101310:15:00,,9:00-10:15,,zn_f,-94.99999,20251013
ZN2511,D,22255,2025101315:00:00,,9:00-15:00,,zn_f,-69.99999,20251013
PB2511,D,17135,2025101310:15:00,,9:00-10:15,,pb_f,15.00001,20251013
PB2511,D,17130,2025101315:00:00,,9:00-15:00,,pb_f,10.00001,20251013
NI2512,D,121640,2025101310:15:00,,9:00-10:15,,ni_f,-1659.99999,20251013
NI2512,D,121570,2025101315:00:00,,9:00-15:00,,ni_f,-1329.99999,20251013
SN2511,D,283290,2025101310:15:00,,9:00-10:15,,sn_f,-4929.99999,20251013
SN2511,D,282680,2025101315:00:00,,9:00-15:00,,sn_f,-4599.99999,20251013
AO2601,D,2820,2025101310:15:00,,9:00-10:15,,ao_f,-44.99999,20251013
AO2601,D,2822,2025101315:00:00,,9:00-15:00,,ao_f,-35.99999,20251013
AD2512,D,20370,2025101310:15:00,,9:00-10:15,,ad_f,-229.99999,20251013
AD2512,D,20380,2025101315:00:00,,9:00-15:00,,ad_f,-179.99999,20251013
AU2512,D,920.86,2025101310:15:00,,9:00-10:15,,au_f,15.46001,20251013
AU2512,D,923.48,2025101315:00:00,,9:00-15:00,,au_f,19.80001,20251013
AG2512,D,11266,2025101310:15:00,,9:00-10:15,,ag_f,183.00001,20251013
AG2512,D,11385,2025101315:00:00,,9:00-15:00,,ag_f,325.00001,20251013
RB2601,D,3077,2025101310:15:00,,9:00-10:15,,rb_f,-24.99999,20251013
RB2601,D,3078,2025101315:00:00,,9:00-15:00,,rb_f,-22.99999,20251013
WR2601,D,3359,2025101310:15:00,,9:00-10:15,,wr_f,-55.99999,20251013
WR2601,D,3351,2025101315:00:00,,9:00-15:00,,wr_f,-64.99999,20251013
HC2601,D,3255,2025101310:15:00,,9:00-10:15,,hc_f,-29.99999,20251013
HC2601,D,3257,2025101315:00:00,,9:00-15:00,,hc_f,-25.99999,20251013
SS2512,D,12675,2025101310:15:00,,9:00-10:15,,ss_f,-174.99999,20251013
SS2512,D,12655,2025101315:00:00,,9:00-15:00,,ss_f,-179.99999,20251013
SC2512,D,454.9,2025101310:15:00,,9:00-10:15,,sc_f,-11.59999,20251013
SC2512,D,454.8,2025101315:00:00,,9:00-15:00,,sc_f,-10.69999,20251013
LU2512,D,3232,2025101310:15:00,,9:00-10:15,,lu_f,-89.99999,20251013
LU2512,D,3234,2025101315:00:00,,9:00-15:00,,lu_f,-77.99999,20251013
FU2601,D,2731,2025101310:15:00,,9:00-10:15,,fu_f,-66.99999,20251013
FU2601,D,2735,2025101315:00:00,,9:00-15:00,,fu_f,-55.99999,20251013
BU2511,D,3309,2025101310:15:00,,9:00-10:15,,bu_f,-29.99999,20251013
BU2511,D,3309,2025101315:00:00,,9:00-15:00,,bu_f,-25.99999,20251013
BR2512,D,10855,2025101310:15:00,,9:00-10:15,,br_f,-344.99999,20251013
BR2512,D,10840,2025101315:00:00,,9:00-15:00,,br_f,-339.99999,20251013
RU2601,D,14900,2025101310:15:00,,9:00-10:15,,ru_f,-439.99999,20251013
RU2601,D,14900,2025101315:00:00,,9:00-15:00,,ru_f,-434.99999,20251013
NR2512,D,12025,2025101310:15:00,,9:00-10:15,,nr_f,-364.99999,20251013
NR2512,D,12020,2025101315:00:00,,9:00-15:00,,nr_f,-354.99999,20251013
SP2601,D,5064,2025101310:15:00,,9:00-10:15,,sp_f,-45.99999,20251013
SP2601,D,5106,2025101315:00:00,,9:00-15:00,,sp_f,10.00001,20251013
OP2601,D,4216,2025101310:15:00,,9:00-10:15,,op_f,-9.99999,20251013
OP2601,D,4212,2025101315:00:00,,9:00-15:00,,op_f,-9.99999,20251013
EC2512,D,1554.4,2025101310:15:00,,9:00-10:15,,ec_f,-77.69999,20251013
EC2512,D,1560,2025101315:00:00,,9:00-15:00,,ec_f,-44.89999,20251013
CU2512,D,86310,2025101410:15:00,,9:00-10:15,,cu_f,1260.00001,20251014
CU2512,D,85320,2025101415:00:00,,9:00-15:00,,cu_f,360.00001,20251014
BC2511,D,76740,2025101410:15:00,,9:00-10:15,,bc_f,1170.00001,20251014
BC2511,D,75860,2025101415:00:00,,9:00-15:00,,bc_f,420.00001,20251014
AL2512,D,20995,2025101410:15:00,,9:00-10:15,,al_f,125.00001,20251014
AL2512,D,20945,2025101415:00:00,,9:00-15:00,,al_f,75.00001,20251014
ZN2511,D,22300,2025101410:15:00,,9:00-10:15,,zn_f,30.00001,20251014
ZN2511,D,22270,2025101415:00:00,,9:00-15:00,,zn_f,15.00001,20251014
PB2511,D,17065,2025101410:15:00,,9:00-10:15,,pb_f,-69.99999,20251014
PB2511,D,17075,2025101415:00:00,,9:00-15:00,,pb_f,-54.99999,20251014
NI2512,D,121270,2025101410:15:00,,9:00-10:15,,ni_f,-369.99999,20251014
NI2512,D,120990,2025101415:00:00,,9:00-15:00,,ni_f,-579.99999,20251014
SN2511,D,283030,2025101410:15:00,,9:00-10:15,,sn_f,-259.99999,20251014
SN2511,D,281680,2025101415:00:00,,9:00-15:00,,sn_f,-999.99999,20251014
AO2601,D,2805,2025101410:15:00,,9:00-10:15,,ao_f,-14.99999,20251014
AO2601,D,2805,2025101415:00:00,,9:00-15:00,,ao_f,-16.99999,20251014
AD2512,D,20500,2025101410:15:00,,9:00-10:15,,ad_f,130.00001,20251014
AD2512,D,20425,2025101415:00:00,,9:00-15:00,,ad_f,45.00001,20251014
AU2512,D,945.72,2025101410:15:00,,9:00-10:15,,au_f,24.86001,20251014
AU2512,D,943.42,2025101415:00:00,,9:00-15:00,,au_f,19.94001,20251014
AG2512,D,11923,2025101410:15:00,,9:00-10:15,,ag_f,657.00001,20251014
AG2512,D,11722,2025101415:00:00,,9:00-15:00,,ag_f,337.00001,20251014
RB2601,D,3058,2025101410:15:00,,9:00-10:15,,rb_f,-18.99999,20251014
RB2601,D,3053,2025101415:00:00,,9:00-15:00,,rb_f,-24.99999,20251014
WR2601,D,3332,2025101410:15:00,,9:00-10:15,,wr_f,-26.99999,20251014
WR2601,D,3329,2025101415:00:00,,9:00-15:00,,wr_f,-21.99999,20251014
HC2601,D,3236,2025101410:15:00,,9:00-10:15,,hc_f,-18.99999,20251014
HC2601,D,3233,2025101415:00:00,,9:00-15:00,,hc_f,-23.99999,20251014
SS2512,D,12580,2025101410:15:00,,9:00-10:15,,ss_f,-94.99999,20251014
SS2512,D,12565,2025101415:00:00,,9:00-15:00,,ss_f,-89.99999,20251014
SC2512,D,453.9,2025101410:15:00,,9:00-10:15,,sc_f,-0.99999,20251014
SC2512,D,451,2025101415:00:00,,9:00-15:00,,sc_f,-3.79999,20251014
LU2512,D,3224,2025101410:15:00,,9:00-10:15,,lu_f,-7.99999,20251014
LU2512,D,3216,2025101415:00:00,,9:00-15:00,,lu_f,-17.99999,20251014
FU2601,D,2723,2025101410:15:00,,9:00-10:15,,fu_f,-7.99999,20251014
FU2601,D,2707,2025101415:00:00,,9:00-15:00,,fu_f,-27.99999,20251014
BU2601,D,3160,2025101410:15:00,,9:00-10:15,,bu_f,-34.99999,20251014
BU2601,D,3166,2025101415:00:00,,9:00-15:00,,bu_f,-23.99999,20251014
BR2512,D,10820,2025101410:15:00,,9:00-10:15,,br_f,-34.99999,20251014
BR2512,D,10760,2025101415:00:00,,9:00-15:00,,br_f,-79.99999,20251014
RU2601,D,14860,2025101410:15:00,,9:00-10:15,,ru_f,-39.99999,20251014
RU2601,D,14820,2025101415:00:00,,9:00-15:00,,ru_f,-79.99999,20251014
NR2512,D,12000,2025101410:15:00,,9:00-10:15,,nr_f,-24.99999,20251014
NR2512,D,11960,2025101415:00:00,,9:00-15:00,,nr_f,-59.99999,20251014
SP2601,D,5152,2025101410:15:00,,9:00-10:15,,sp_f,88.00001,20251014
SP2601,D,5156,2025101415:00:00,,9:00-15:00,,sp_f,50.00001,20251014
OP2601,D,4210,2025101410:15:00,,9:00-10:15,,op_f,-5.99999,20251014
OP2601,D,4208,2025101415:00:00,,9:00-15:00,,op_f,-3.99999,20251014
EC2512,D,1590.4,2025101410:15:00,,9:00-10:15,,ec_f,36.00001,20251014
EC2512,D,1639.3,2025101415:00:00,,9:00-15:00,,ec_f,79.30001,20251014
CU2512,D,85150,2025101510:15:00,,9:00-10:15,,cu_f,-1159.99999,20251015
CU2512,D,85370,2025101515:00:00,,9:00-15:00,,cu_f,50.00001,20251015
BC2511,D,75610,2025101510:15:00,,9:00-10:15,,bc_f,-1129.99999,20251015
BC2511,D,75820,2025101515:00:00,,9:00-15:00,,bc_f,-39.99999,20251015
AL2512,D,20905,2025101510:15:00,,9:00-10:15,,al_f,-89.99999,20251015
AL2512,D,20920,2025101515:00:00,,9:00-15:00,,al_f,-24.99999,20251015
