INSTRUMENTID,TRADINGSEGMENT,REFSETTLEMENTPRICE,TIME1,:B1,TIME,TRADINGDAY,PRODUCTID,UPDOWN,trade_date
PB2510,D,17025,2025100915:00:00,20251009,9:00-15:00,20251009,pb_f,130.00001,20251009
PB2511,D,16945,2025100910:15:00,20251009,9:00-10:15,20251009,pb_f,15.00001,20251009
PB2511,D,17040,2025100915:00:00,20251009,9:00-15:00,20251009,pb_f,120.00001,20251009
PB2512,D,16970,2025100910:15:00,20251009,9:00-10:15,20251009,pb_f,15.00001,20251009
PB2512,D,17075,2025100915:00:00,20251009,9:00-15:00,20251009,pb_f,130.00001,20251009
PB2601,D,16995,2025100910:15:00,20251009,9:00-10:15,20251009,pb_f,30.00001,20251009
PB2601,D,17095,2025100915:00:00,20251009,9:00-15:00,20251009,pb_f,125.00001,20251009
PB2602,D,16990,2025100910:15:00,20251009,9:00-10:15,20251009,pb_f,35.00001,20251009
PB2602,D,16990,2025100915:00:00,20251009,9:00-15:00,20251009,pb_f,35.00001,20251009
PB2603,D,17205,2025100910:15:00,20251009,9:00-10:15,20251009,pb_f,240.00001,20251009
PB2603,D,17205,2025100915:00:00,20251009,9:00-15:00,20251009,pb_f,220.00001,20251009
PB2604,D,0,2025100910:15:00,20251009,9:00-10:15,20251009,pb_f,0,20251009
PB2604,D,0,2025100915:00:00,20251009,9:00-15:00,20251009,pb_f,0,20251009
PB2605,D,0,2025100910:15:00,20251009,9:00-10:15,20251009,pb_f,0,20251009
PB2605,D,0,2025100915:00:00,20251009,9:00-15:00,20251009,pb_f,0,20251009
PB2606,D,0,2025100910:15:00,20251009,9:00-10:15,20251009,pb_f,0,20251009
PB2606,D,0,2025100915:00:00,20251009,9:00-15:00,20251009,pb_f,0,20251009
PB2607,D,17020,2025100910:15:00,20251009,9:00-10:15,20251009,pb_f,0,20251009
PB2607,D,17020,2025100915:00:00,20251009,9:00-15:00,20251009,pb_f,1e-05,20251009
PB2608,D,0,2025100910:15:00,20251009,9:00-10:15,20251009,pb_f,0,20251009
PB2608,D,17255,2025100915:00:00,20251009,9:00-15:00,20251009,pb_f,225.00001,20251009
PB2609,D,0,2025100910:15:00,20251009,9:00-10:15,20251009,pb_f,0,20251009
PB2609,D,17285,2025100915:00:00,20251009,9:00-15:00,20251009,pb_f,235.00001,20251009
NI2510,D,121280,2025100910:15:00,20251009,9:00-10:15,20251009,ni_f,-59.99999,20251009
NI2510,D,122090,2025100915:00:00,20251009,9:00-15:00,20251009,ni_f,1150.00001,20251009
NI2511,D,122130,2025100910:15:00,20251009,9:00-10:15,20251009,ni_f,480.00001,20251009
NI2511,D,123120,2025100915:00:00,20251009,9:00-15:00,20251009,ni_f,1880.00001,20251009
NI2512,D,122330,2025100910:15:00,20251009,9:00-10:15,20251009,ni_f,530.00001,20251009
NI2512,D,123310,2025100915:00:00,20251009,9:00-15:00,20251009,ni_f,1900.00001,20251009
NI2601,D,122480,2025100910:15:00,20251009,9:00-10:15,20251009,ni_f,500.00001,20251009
NI2601,D,123530,2025100915:00:00,20251009,9:00-15:00,20251009,ni_f,1900.00001,20251009
NI2602,D,122800,2025100910:15:00,20251009,9:00-10:15,20251009,ni_f,570.00001,20251009
NI2602,D,123470,2025100915:00:00,20251009,9:00-15:00,20251009,ni_f,1700.00001,20251009
NI2603,D,123050,2025100910:15:00,20251009,9:00-10:15,20251009,ni_f,590.00001,20251009
NI2603,D,124010,2025100915:00:00,20251009,9:00-15:00,20251009,ni_f,2040.00001,20251009
NI2604,D,123360,2025100910:15:00,20251009,9:00-10:15,20251009,ni_f,600.00001,20251009
NI2604,D,124320,2025100915:00:00,20251009,9:00-15:00,20251009,ni_f,1900.00001,20251009
NI2605,D,123480,2025100910:15:00,20251009,9:00-10:15,20251009,ni_f,640.00001,20251009
NI2605,D,124550,2025100915:00:00,20251009,9:00-15:00,20251009,ni_f,2040.00001,20251009
NI2606,D,123880,2025100910:15:00,20251009,9:00-10:15,20251009,ni_f,530.00001,20251009
NI2606,D,124900,2025100915:00:00,20251009,9:00-15:00,20251009,ni_f,2250.00001,20251009
NI2607,D,124240,2025100910:15:00,20251009,9:00-10:15,20251009,ni_f,910.00001,20251009
NI2607,D,124850,2025100915:00:00,20251009,9:00-15:00,20251009,ni_f,1900.00001,20251009
NI2608,D,124480,2025100910:15:00,20251009,9:00-10:15,20251009,ni_f,480.00001,20251009
NI2608,D,125590,2025100915:00:00,20251009,9:00-15:00,20251009,ni_f,1870.00001,20251009
NI2609,D,124830,2025100910:15:00,20251009,9:00-10:15,20251009,ni_f,780.00001,20251009
NI2609,D,125660,2025100915:00:00,20251009,9:00-15:00,20251009,ni_f,1700.00001,20251009
SN2510,D,284290,2025100910:15:00,20251009,9:00-10:15,20251009,sn_f,4830.00001,20251009
SN2510,D,284870,2025100915:00:00,20251009,9:00-15:00,20251009,sn_f,7490.00001,20251009
SN2511,D,283880,2025100910:15:00,20251009,9:00-10:15,20251009,sn_f,3970.00001,20251009
SN2511,D,285080,2025100915:00:00,20251009,9:00-15:00,20251009,sn_f,7680.00001,20251009
SN2512,D,284350,2025100910:15:00,20251009,9:00-10:15,20251009,sn_f,4340.00001,20251009
SN2512,D,285430,2025100915:00:00,20251009,9:00-15:00,20251009,sn_f,7910.00001,20251009
SN2601,D,284440,2025100910:15:00,20251009,9:00-10:15,20251009,sn_f,4470.00001,20251009
SN2601,D,285490,2025100915:00:00,20251009,9:00-15:00,20251009,sn_f,8080.00001,20251009
SN2602,D,284520,2025100910:15:00,20251009,9:00-10:15,20251009,sn_f,4540.00001,20251009
SN2602,D,285460,2025100915:00:00,20251009,9:00-15:00,20251009,sn_f,8050.00001,20251009
SN2603,D,284090,2025100910:15:00,20251009,9:00-10:15,20251009,sn_f,4330.00001,20251009
SN2603,D,285280,2025100915:00:00,20251009,9:00-15:00,20251009,sn_f,8370.00001,20251009
SN2604,D,284290,2025100910:15:00,20251009,9:00-10:15,20251009,sn_f,4400.00001,20251009
SN2604,D,284800,2025100915:00:00,20251009,9:00-15:00,20251009,sn_f,8030.00001,20251009
SN2605,D,283990,2025100910:15:00,20251009,9:00-10:15,20251009,sn_f,3530.00001,20251009
SN2605,D,285200,2025100915:00:00,20251009,9:00-15:00,20251009,sn_f,8740.00001,20251009
SN2606,D,283450,2025100910:15:00,20251009,9:00-10:15,20251009,sn_f,0,20251009
SN2606,D,285390,2025100915:00:00,20251009,9:00-15:00,20251009,sn_f,9170.00001,20251009
SN2607,D,283120,2025100910:15:00,20251009,9:00-10:15,20251009,sn_f,0,20251009
SN2607,D,284640,2025100915:00:00,20251009,9:00-15:00,20251009,sn_f,8500.00001,20251009
SN2608,D,284550,2025100910:15:00,20251009,9:00-10:15,20251009,sn_f,0,20251009
SN2608,D,285520,2025100915:00:00,20251009,9:00-15:00,20251009,sn_f,9060.00001,20251009
SN2609,D,0,2025100910:15:00,20251009,9:00-10:15,20251009,sn_f,0,20251009
SN2609,D,287820,2025100915:00:00,20251009,9:00-15:00,20251009,sn_f,9380.00001,20251009
AO2510,D,2814,2025100910:15:00,20251009,9:00-10:15,20251009,ao_f,-17.99999,20251009
AO2510,D,2818,2025100915:00:00,20251009,9:00-15:00,20251009,ao_f,-10.99999,20251009
AO2511,D,2842,2025100910:15:00,20251009,9:00-10:15,20251009,ao_f,-9.99999,20251009
AO2511,D,2844,2025100915:00:00,20251009,9:00-15:00,20251009,ao_f,-4.99999,20251009
AO2512,D,2858,2025100910:15:00,20251009,9:00-10:15,20251009,ao_f,-9.99999,20251009
AO2512,D,2860,2025100915:00:00,20251009,9:00-15:00,20251009,ao_f,-5.99999,20251009
AO2601,D,2870,2025100910:15:00,20251009,9:00-10:15,20251009,ao_f,-8.99999,20251009
AO2601,D,2871,2025100915:00:00,20251009,9:00-15:00,20251009,ao_f,-3.99999,20251009
AO2602,D,2881,2025100910:15:00,20251009,9:00-10:15,20251009,ao_f,-11.99999,20251009
AO2602,D,2882,2025100915:00:00,20251009,9:00-15:00,20251009,ao_f,-6.99999,20251009
AO2603,D,2944,2025100910:15:00,20251009,9:00-10:15,20251009,ao_f,-14.99999,20251009
AO2603,D,2949,2025100915:00:00,20251009,9:00-15:00,20251009,ao_f,-6.99999,20251009
AO2604,D,2953,2025100910:15:00,20251009,9:00-10:15,20251009,ao_f,-12.99999,20251009
AO2604,D,2958,2025100915:00:00,20251009,9:00-15:00,20251009,ao_f,-6.99999,20251009
AO2605,D,2961,2025100910:15:00,20251009,9:00-10:15,20251009,ao_f,-10.99999,20251009
AO2605,D,2965,2025100915:00:00,20251009,9:00-15:00,20251009,ao_f,-2.99999,20251009
AO2606,D,2960,2025100910:15:00,20251009,9:00-10:15,20251009,ao_f,-24.99999,20251009
AO2606,D,2972,2025100915:00:00,20251009,9:00-15:00,20251009,ao_f,-3.99999,20251009
AO2607,D,2976,2025100910:15:00,20251009,9:00-10:15,20251009,ao_f,-12.99999,20251009
AO2607,D,2978,2025100915:00:00,20251009,9:00-15:00,20251009,ao_f,-5.99999,20251009
AO2608,D,2988,2025100910:15:00,20251009,9:00-10:15,20251009,ao_f,-14.99999,20251009
AO2608,D,2987,2025100915:00:00,20251009,9:00-15:00,20251009,ao_f,-11.99999,20251009
AO2609,D,3000,2025100910:15:00,20251009,9:00-10:15,20251009,ao_f,-22.99999,20251009
AO2609,D,3000,2025100915:00:00,20251009,9:00-15:00,20251009,ao_f,-17.99999,20251009
AD2511,D,20455,2025100910:15:00,20251009,9:00-10:15,20251009,ad_f,220.00001,20251009
AD2511,D,20485,2025100915:00:00,20251009,9:00-15:00,20251009,ad_f,280.00001,20251009
AD2512,D,20500,2025100910:15:00,20251009,9:00-10:15,20251009,ad_f,205.00001,20251009
AD2512,D,20540,2025100915:00:00,20251009,9:00-15:00,20251009,ad_f,280.00001,20251009
AD2601,D,20555,2025100910:15:00,20251009,9:00-10:15,20251009,ad_f,235.00001,20251009
AD2601,D,20610,2025100915:00:00,20251009,9:00-15:00,20251009,ad_f,315.00001,20251009
AD2602,D,20605,2025100910:15:00,20251009,9:00-10:15,20251009,ad_f,0,20251009
AD2602,D,20620,2025100915:00:00,20251009,9:00-15:00,20251009,ad_f,315.00001,20251009
AD2603,D,0,2025100910:15:00,20251009,9:00-10:15,20251009,ad_f,0,20251009
AD2603,D,0,2025100915:00:00,20251009,9:00-15:00,20251009,ad_f,0,20251009
AD2604,D,0,2025100910:15:00,20251009,9:00-10:15,20251009,ad_f,0,20251009
AD2604,D,0,2025100915:00:00,20251009,9:00-15:00,20251009,ad_f,0,20251009
AD2605,D,20480,2025100910:15:00,20251009,9:00-10:15,20251009,ad_f,190.00001,20251009
AD2605,D,20550,2025100915:00:00,20251009,9:00-15:00,20251009,ad_f,260.00001,20251009
AD2606,D,0,2025100910:15:00,20251009,9:00-10:15,20251009,ad_f,0,20251009
AD2606,D,0,2025100915:00:00,20251009,9:00-15:00,20251009,ad_f,0,20251009
AD2607,D,0,2025100910:15:00,20251009,9:00-10:15,20251009,ad_f,0,20251009
AD2607,D,0,2025100915:00:00,20251009,9:00-15:00,20251009,ad_f,0,20251009
AD2608,D,20495,2025100910:15:00,20251009,9:00-10:15,20251009,ad_f,0,20251009
AD2608,D,20495,2025100915:00:00,20251009,9:00-15:00,20251009,ad_f,0,20251009
AD2609,D,0,2025100910:15:00,20251009,9:00-10:15,20251009,ad_f,0,20251009
AD2609,D,0,2025100915:00:00,20251009,9:00-15:00,20251009,ad_f,0,20251009
AU2510,D,911.88,2025100910:15:00,20251009,9:00-10:15,20251009,au_f,40.68001,20251009
AU2510,D,912.68,2025100915:00:00,20251009,9:00-15:00,20251009,au_f,38.94001,20251009
AU2511,D,910.62,2025100910:15:00,20251009,9:00-10:15,20251009,au_f,38.94001,20251009
AU2511,D,912.92,2025100915:00:00,20251009,9:00-15:00,20251009,au_f,39.56001,20251009
AU2512,D,911.9,2025100910:15:00,20251009,9:00-10:15,20251009,au_f,37.64001,20251009
AU2512,D,912.98,2025100915:00:00,20251009,9:00-15:00,20251009,au_f,36.84001,20251009
AU2602,D,914.62,2025100910:15:00,20251009,9:00-10:15,20251009,au_f,38.04001,20251009
AU2602,D,915.64,2025100915:00:00,20251009,9:00-15:00,20251009,au_f,37.10001,20251009
AU2604,D,916.56,2025100910:15:00,20251009,9:00-10:15,20251009,au_f,37.94001,20251009
AU2604,D,917.54,2025100915:00:00,20251009,9:00-15:00,20251009,au_f,36.86001,20251009
AU2606,D,918.1,2025100910:15:00,20251009,9:00-10:15,20251009,au_f,37.04001,20251009
AU2606,D,918.94,2025100915:00:00,20251009,9:00-15:00,20251009,au_f,35.30001,20251009
AU2608,D,921.2,2025100910:15:00,20251009,9:00-10:15,20251009,au_f,37.70001,20251009
AU2608,D,922,2025100915:00:00,20251009,9:00-15:00,20251009,au_f,36.40001,20251009
AU2610,D,924.08,2025100910:15:00,20251009,9:00-10:15,20251009,au_f,37.58001,20251009
AU2610,D,924.88,2025100915:00:00,20251009,9:00-15:00,20251009,au_f,36.98001,20251009
AG2510,D,11190,2025100910:15:00,20251009,9:00-10:15,20251009,ag_f,291.00001,20251009
AG2510,D,11193,2025100915:00:00,20251009,9:00-15:00,20251009,ag_f,255.00001,20251009
AG2511,D,11183,2025100910:15:00,20251009,9:00-10:15,20251009,ag_f,265.00001,20251009
AG2511,D,11192,2025100915:00:00,20251009,9:00-15:00,20251009,ag_f,243.00001,20251009
AG2512,D,11199,2025100910:15:00,20251009,9:00-10:15,20251009,ag_f,258.00001,20251009
AG2512,D,11209,2025100915:00:00,20251009,9:00-15:00,20251009,ag_f,249.00001,20251009
AG2601,D,11209,2025100910:15:00,20251009,9:00-10:15,20251009,ag_f,254.00001,20251009
AG2601,D,11217,2025100915:00:00,20251009,9:00-15:00,20251009,ag_f,247.00001,20251009
AG2602,D,11226,2025100910:15:00,20251009,9:00-10:15,20251009,ag_f,259.00001,20251009
AG2602,D,11236,2025100915:00:00,20251009,9:00-15:00,20251009,ag_f,250.00001,20251009
AG2603,D,11238,2025100910:15:00,20251009,9:00-10:15,20251009,ag_f,265.00001,20251009
AG2603,D,11249,2025100915:00:00,20251009,9:00-15:00,20251009,ag_f,257.00001,20251009
AG2604,D,11242,2025100910:15:00,20251009,9:00-10:15,20251009,ag_f,264.00001,20251009
AG2604,D,11256,2025100915:00:00,20251009,9:00-15:00,20251009,ag_f,260.00001,20251009
AG2605,D,11258,2025100910:15:00,20251009,9:00-10:15,20251009,ag_f,253.00001,20251009
AG2605,D,11266,2025100915:00:00,20251009,9:00-15:00,20251009,ag_f,242.00001,20251009
AG2606,D,11257,2025100910:15:00,20251009,9:00-10:15,20251009,ag_f,245.00001,20251009
AG2606,D,11255,2025100915:00:00,20251009,9:00-15:00,20251009,ag_f,227.00001,20251009
AG2607,D,11280,2025100910:15:00,20251009,9:00-10:15,20251009,ag_f,253.00001,20251009
AG2607,D,11284,2025100915:00:00,20251009,9:00-15:00,20251009,ag_f,241.00001,20251009
AG2608,D,11289,2025100910:15:00,20251009,9:00-10:15,20251009,ag_f,258.00001,20251009
AG2608,D,11293,2025100915:00:00,20251009,9:00-15:00,20251009,ag_f,245.00001,20251009
AG2609,D,11296,2025100910:15:00,20251009,9:00-10:15,20251009,ag_f,255.00001,20251009
AG2609,D,11305,2025100915:00:00,20251009,9:00-15:00,20251009,ag_f,245.00001,20251009
RB2510,D,2992,2025100910:15:00,20251009,9:00-10:15,20251009,rb_f,-20.99999,20251009
RB2510,D,2998,2025100915:00:00,20251009,9:00-15:00,20251009,rb_f,2.00001,20251009
RB2511,D,3016,2025100910:15:00,20251009,9:00-10:15,20251009,rb_f,-13.99999,20251009
RB2511,D,3019,2025100915:00:00,20251009,9:00-15:00,20251009,rb_f,1.00001,20251009
RB2512,D,3067,2025100910:15:00,20251009,9:00-10:15,20251009,rb_f,-14.99999,20251009
RB2512,D,3070,2025100915:00:00,20251009,9:00-15:00,20251009,rb_f,3.00001,20251009
RB2601,D,3084,2025100910:15:00,20251009,9:00-10:15,20251009,rb_f,-12.99999,20251009
RB2601,D,3087,2025100915:00:00,20251009,9:00-15:00,20251009,rb_f,3.00001,20251009
RB2602,D,3088,2025100910:15:00,20251009,9:00-10:15,20251009,rb_f,-16.99999,20251009
RB2602,D,3093,2025100915:00:00,20251009,9:00-15:00,20251009,rb_f,2.00001,20251009
RB2603,D,3104,2025100910:15:00,20251009,9:00-10:15,20251009,rb_f,-13.99999,20251009
RB2603,D,3109,2025100915:00:00,20251009,9:00-15:00,20251009,rb_f,7.00001,20251009
RB2604,D,3130,2025100910:15:00,20251009,9:00-10:15,20251009,rb_f,-9.99999,20251009
RB2604,D,3131,2025100915:00:00,20251009,9:00-15:00,20251009,rb_f,8.00001,20251009
RB2605,D,3141,2025100910:15:00,20251009,9:00-10:15,20251009,rb_f,-11.99999,20251009
RB2605,D,3145,2025100915:00:00,20251009,9:00-15:00,20251009,rb_f,6.00001,20251009
RB2606,D,3157,2025100910:15:00,20251009,9:00-10:15,20251009,rb_f,-10.99999,20251009
RB2606,D,3158,2025100915:00:00,20251009,9:00-15:00,20251009,rb_f,1.00001,20251009
RB2607,D,3167,2025100910:15:00,20251009,9:00-10:15,20251009,rb_f,-7.99999,20251009
RB2607,D,3175,2025100915:00:00,20251009,9:00-15:00,20251009,rb_f,17.00001,20251009
RB2608,D,3175,2025100910:15:00,20251009,9:00-10:15,20251009,rb_f,-11.99999,20251009
RB2608,D,3180,2025100915:00:00,20251009,9:00-15:00,20251009,rb_f,8.00001,20251009
RB2609,D,3184,2025100910:15:00,20251009,9:00-10:15,20251009,rb_f,-9.99999,20251009
RB2609,D,3189,2025100915:00:00,20251009,9:00-15:00,20251009,rb_f,7.00001,20251009
WR2510,D,0,2025100910:15:00,20251009,9:00-10:15,20251009,wr_f,0,20251009
WR2510,D,0,2025100915:00:00,20251009,9:00-15:00,20251009,wr_f,0,20251009
WR2511,D,3252,2025100910:15:00,20251009,9:00-10:15,20251009,wr_f,0,20251009
WR2511,D,3270,2025100915:00:00,20251009,9:00-15:00,20251009,wr_f,0,20251009
